Case Study,Organisation,URL,Category,Country,Date,Tags,Alternative URL
A new AI compass to refine the editorial agenda,La Silla Rota,https://latamjournalismreview.org/articles/a-new-ai-compass-to-refine-the-editorial-agenda/,"AI Strategy ,News production ,Audience Engagement,Analytics",Mexico,"April 16, 2026","News coverage,Trending Topics,Content strategy,Analytics",
How dmg media is building an AI ‘foundational layer’ for the newsroom,dmg media,https://wan-ifra.org/2026/04/how-dmg-media-is-building-an-ai-foundational-layer-for-the-newsroom/,"Workflow,News production ,News distribution,Generative AI",United Kingdom,"April 8, 2026","Agents,AI Hubs,Assisted journalism",
Bridging the China coverage gap: AI-powered news monitoring,CBC,https://www.journalismai.info/blog/bridging-the-china-coverage-gap-ai-powered-news-monitoring,Newsgathering,Taiwan,"March 9, 2026","News coverage,Automation",
How The Hindu is embedding AI into its data journalism,The Hindu,https://wan-ifra.org/2026/03/how-the-hindu-is-embedding-ai-into-its-data-journalism/,"Newsgathering,Audience Engagement,Generative AI",India,"March 5, 2026","Data journalism,Elections,Data Visualization,Investigations",
"From fine-tuning to smart prompting: Automating routine news at ANKA
",ANKA,https://www.journalismai.info/blog/from-fine-tuning-to-smart-prompting-automating-routine-news-at-anka,Newsgathering,Turkiye,"March 3, 2026","ChatGPT,Content production,Newsroom organization,Productivity",
Cutting through healthcare data complexity: An AI-powered research tool,Pointer,https://www.journalismai.info/blog/cutting-through-healthcare-data-complexity,News production ,The Netherlands,"February 24, 2026","RAG,Document analysis,GenAI",
These Brazilian newsrooms are using AI to expose online hate and track federal policy,"Gênero e Número, AzMina",https://latamjournalismreview.org/articles/these-brazilian-newsrooms-are-using-ai-to-expose-online-hate-and-track-federal-policy/,"Newsgathering,Investigations,Generative AI",Brazil,"February 23, 2026","Investigations,Diversity,LGBTQ+",
AI in Latin American newsrooms: Moving from exploration to editorial practice,"Diario UNO, La Silla Rota, Primicias",https://wan-ifra.org/2026/02/artificial-intelligence-in-latin-american-newsrooms-moving-from-exploration-to-editorial-practice/,"AI Strategy ,News production ","Argentina, Mexico, Ecuador","February 19, 2026","Editorial,GenAI,Smart assistant",
No programmers? No problem: These newsrooms are building their own AI,"ADN Sur, Búsqueda, OPI Santa Cruz",https://latamjournalismreview.org/articles/no-programmers-no-problem-these-newsrooms-are-building-their-own-ai/,"Generative AI,Research & Innovation ,Newsgathering,News production ","Argentina, Uruguay","February 11, 2026","Vibecoding,GenAI,Google Tools,Gemini,Data journalism,Archives,Assisted journalism",
How The New York Times uses a custom AI tool to track the “manosphere”,New York Times,https://www.niemanlab.org/2026/02/how-the-new-york-times-uses-a-custom-ai-tool-to-track-the-manosphere/,Newsgathering,United States,"February 11, 2026","Assisted journalism,Audio,Automation",
Inside the automation behind El Comercio’s election guides for Peru,El Comercio,https://latamjournalismreview.org/articles/inside-the-automation-behind-el-comercios-election-guides-for-peru/,"News production ,Newsgathering",Peru,"February 6, 2026","Agents,Automation,Data journalism",
How Dennik N tool continues to power publisher revenue,Denník N,https://newsinitiative.withgoogle.com/en-gb/resources/stories/how-dennik-n-tool-continues-to-power-publisher-revenue/,Revenue,Slovakia,"January 19, 2026","Audiences,Automation,Personalised content",
Inside Público’s GenAI-Powered Voting Game,Público,https://generative-ai-newsroom.com/inside-p%C3%BAblicos-genai-powered-voting-game-c3e937c8a978,Audience Engagement,Portugal,"January 12, 2026","GenAI,Audiences,Elections",https://www.publico.pt/2025/05/09/politica/noticia/metodologia-detras-dating-eleitoral-2025-2132493
Il Messaggero accelerated subscription growth by introducing new AI-powered digital products and strengthening cross-team collaboration,Il Messaggero,https://www.ftstrategies.com/en-gb/case-studies/il-messaggero-accelerated-subscription-growth-by-introducing-new-ai-powered-digital-products-and-strengthening-cross-team-collaboration,"Subscriptions,News distribution",Italy,"December 11, 2025","Gemini,Subscriptions,Optimisation",
"Beyond blue links: Meet NEO, EBU’s project to reinvent news access",EBU,https://www.journalismai.info/blog/beyond-blue-links-how-the-ebu-built-neo-to-reinvent-news-access,"Audience Engagement,News distribution",France,"November 21, 2025",,
"Factivo AI, a force-multiplier for multi-format journalism",Scroll.in,https://www.journalismai.info/programmes/innovation/innovation-challenge-2024/scroll,News distribution,India,"November 11, 2025","Engaged journalism,Audiences,GenAI,JournalismAI Innovation Challenge",
Building AI for African Voices,The Republic,https://www.journalismai.info/programmes/innovation/innovation-challenge-2024/the-republic,News production ,Nigeria,"November 11, 2025","Voice systems,GenAI,Audio,Translations,JournalismAI Innovation Challenge",
AI platform aids journalists and readers overcome historical amnesia,Nawaat,https://www.journalismai.info/programmes/innovation/innovation-challenge-2024/nawaat,News distribution,Tunisia,"November 11, 2025","JournalismAI Innovation Challenge,Archives,Translations",
"Using custom-AI to enhance its political accountability tool, Digital Democracy",CalMatters,https://www.journalismai.info/programmes/innovation/innovation-challenge-2024/calmatters,Newsgathering,United States,"November 11, 2025","JournalismAI Innovation Challenge,Document analysis,Transcripts,Assisted journalism,Chatbots",
how to build an AI chatbot that democratises economics,Economía para la Pipol,https://www.journalismai.info/programmes/innovation/innovation-challenge-2024/economia-para-la-pipol,Audience Engagement,Colombia,"November 11, 2025","Chatbots,Audiences,GenAI,Data Visualization,JournalismAI Innovation Challenge",
Sustaining media operations during crisis,Babel NGO,https://www.journalismai.info/programmes/innovation/innovation-challenge-2024/babel-ngo,"News distribution,Audiovisual",Ukraine,"November 11, 2025","JournalismAI Innovation Challenge,Avatars",
Serving readers by using AI to answer SRHR questions,Raseef22,https://www.journalismai.info/programmes/innovation/innovation-challenge-2024/raseef22,Audience Engagement,United Kingdom,"November 11, 2025","Chatbots,Audiences,JournalismAI Innovation Challenge",
Powering data-driven investigations with AI,CINS,https://www.journalismai.info/programmes/innovation/innovation-challenge-2024/cins,Newsgathering,Serbia,"November 11, 2025","Data journalism,Document analysis,JournalismAI Innovation Challenge",
Using AI to deliver service journalism where people are,Agencia Mural,https://www.journalismai.info/programmes/innovation/innovation-challenge-2024/agencia-mural,News distribution,Brazil,"November 11, 2025","JournalismAI Innovation Challenge,Audiences,News distribution,Chatbots,Climate",
Building Nigeria’s culturally aware transcription tool,ICIR Nigeria,https://www.journalismai.info/programmes/innovation/innovation-challenge-2024/icir-nigeria,Newsgathering,Nigeria,"November 11, 2025",JournalismAI Innovation Challenge,
Building understandable common knowledge,El Surti,https://www.journalismai.info/programmes/innovation/innovation-challenge-2024/el-surti,"Audience Engagement,Revenue",Paraguay,"November 11, 2025","JournalismAI Innovation Challenge,Natural Language Generation,GenAI,Chatbots,Audiences",
An AI companion editor for its journalists,The European Correspondent ,https://www.journalismai.info/programmes/innovation/innovation-challenge-2024/the-european-correspondent,News production ,Switzerland,"November 11, 2025",JournalismAI Innovation Challenge,
Building intelligence into fact-checking workflows,Maldita.es,https://www.journalismai.info/programmes/innovation/innovation-challenge-2024/malditaes,News production ,Spain,"November 11, 2025","JournalismAI Innovation Challenge,Assisted journalism",
Building bridges between newsrooms through an AI-powered newsletter exchange,openDemocracy,https://www.journalismai.info/programmes/innovation/innovation-challenge-2024/open-democracy,News distribution,United Kingdom,"November 11, 2025",JournalismAI Innovation Challenge,
"Using AI to create SEEK, a GenAI fact-checking search engine",VERA Files,https://www.journalismai.info/programmes/innovation/innovation-challenge-2024/vera-files,,Philippines,"November 11, 2025",JournalismAI Innovation Challenge,
Transforming data into actionable insights,Sowt ,https://www.journalismai.info/programmes/innovation/innovation-challenge-2024/sowt,,Jordan,"November 11, 2025",JournalismAI Innovation Challenge,
Building a custom AI tools hub,La Silla Vacía,https://www.journalismai.info/programmes/innovation/innovation-challenge-2024/la-silla-vacia,"News production ,Revenue",Colombia,"November 11, 2025",JournalismAI Innovation Challenge,
Giving a voice to gun violence numbers,Instituto Fogo Cruzado,https://www.journalismai.info/programmes/innovation/innovation-challenge-2024/fogo-cruzado,,Brazil,"November 11, 2025",JournalismAI Innovation Challenge,
Using GenAI to track government promises,Full Fact,https://www.journalismai.info/programmes/innovation/innovation-challenge-2024/full-fact,Newsgathering,United Kingdom,"November 11, 2025",JournalismAI Innovation Challenge,
Building trust in Indigenous communities with AI,Verified News Network,https://www.journalismai.info/programmes/innovation/innovation-challenge-2024/verified-news-network,,United States,"November 11, 2025",JournalismAI Innovation Challenge,
Building an AI system to combat climate misinformation,Science Feedback,https://www.journalismai.info/programmes/innovation/innovation-challenge-2024/science-feedback,,France,"November 11, 2025",JournalismAI Innovation Challenge,
Using AI to improve story production workflows,Gubbi Labs,https://www.journalismai.info/programmes/innovation/innovation-challenge-2024/gubbi-labs,,India,"November 11, 2025",JournalismAI Innovation Challenge,
Empowering local news through AI efficiency,The Oglethorpe Echo,https://www.journalismai.info/programmes/innovation/innovation-challenge-2024/the-oglethorpe-echo,,United States,"November 11, 2025",JournalismAI Innovation Challenge,
Reviving regional journalism through personalised community engagement,MAKEDONIA,https://www.journalismai.info/programmes/innovation/innovation-challenge-2024/makedonia,,Greece,"November 11, 2025",JournalismAI Innovation Challenge,
Unmasking disinformation during elections,CCIJ,https://www.journalismai.info/programmes/innovation/innovation-challenge-2024/ccij,,United States,"November 11, 2025",JournalismAI Innovation Challenge,
Building Mongolia's First AI-Powered Fact-Checking System,Nest Center,https://www.journalismai.info/programmes/innovation/innovation-challenge-2024/nest-center,,Mongolia,"November 11, 2025",JournalismAI Innovation Challenge,
Teaching AI to spot hidden bias,Shomrim,https://www.journalismai.info/programmes/innovation/innovation-challenge-2024/shomrim,,Israel,"November 11, 2025",JournalismAI Innovation Challenge,
Using AI to boost its membership strategy,Daily Maverick,https://www.journalismai.info/programmes/innovation/innovation-challenge-2024/daily-maverick,,South Africa,"November 11, 2025",JournalismAI Innovation Challenge,
Using AI to tackle disinformation on social media,Newtral ,https://www.journalismai.info/programmes/innovation/innovation-challenge-2024/newtral,"Newsgathering,Investigations",Spain,"November 11, 2025",JournalismAI Innovation Challenge,
Bringing AI-powered fact-checking to Africa's languages,Tama Media,https://www.journalismai.info/programmes/innovation/innovation-challenge-2024/tama-media,,France,"November 11, 2025",JournalismAI Innovation Challenge,
Building on market needs’ shoulders,Mas Voces ,https://www.journalismai.info/programmes/innovation/innovation-challenge-2024/mas-voces,Revenue,United States,"November 11, 2025",JournalismAI Innovation Challenge,
Building AI accessibility for fact-checkers,La Voz (Chequeado),https://www.journalismai.info/programmes/innovation/innovation-challenge-2024/chequeado,News production ,Argentina,"November 11, 2025","JournalismAI Innovation Challenge,Fact checking,Assisted journalism,Smart assistant",
Understanding anti-gender discourse on YouTube: a feminist approach to AI-powered monitoring,Gênero e Número,https://www.journalismai.info/programmes/innovation/innovation-challenge-2024/genero-e-numero,Newsgathering,Brazil,"November 11, 2025","JournalismAI Innovation Challenge,Disinformation,YouTube,LGBTQ+",
Using AI to combat misinformation in Syria,Verify Media Platform,https://www.journalismai.info/programmes/innovation/innovation-challenge-2024/verify-media-platform,,Turkey,"November 11, 2025",JournalismAI Innovation Challenge,
Using AI to predict subscriber churn,Digitalhaus Franken GmbH,https://www.journalismai.info/programmes/innovation/innovation-challenge-2024/digitalhaus-franken,,Germany,"November 11, 2025",JournalismAI Innovation Challenge,
The Onion's AI Strategy: Why Satire Can't Be Automated,The Onion,https://newsmachines.beehiiv.com/p/the-onion-ai-strategy,"Responsible AI,AI Strategy ",United States,"October 22, 2025","Content strategy,Responsibility",
How iTromsø Built Norway's Most AI-Ready Newsroom,iTromsø,https://newsmachines.beehiiv.com/p/how-itroms-built-norway-s-most-ai-ready-newsroom,Management,Norway,"September 17, 2025","Content strategy,RAG,Automation",
"ChatMigrante: an AI powered tool that supports migrants with accurate, personalized guidance through their migratory process.
",FactChequeado,https://awards.journalists.org/entries/chatmigrante-an-ai-powered-tool-that-supports-migrants-with-accurate-personalized-guidance-through-their-migratory-process/,Audience Engagement,United States,"September 11, 2025",Chatbots,
Onet Czat with AI creates simplified experience for Ringier Axel Springer Polska readers,Onet Czat,https://www.inma.org/blogs/Content-Strategies/post.cfm/onet-czat-with-ai-creates-simplified-experience-for-ringier-axel-springer-polska-readers,"Audience Engagement,News distribution",Poland,"August 11, 2025","Audiences,Personalised content",
Hearst Newspapers leverages AI for a human-centred strategy,Hearst Newspapers,https://www.inma.org/blogs/Generative-AI-Initiative/post.cfm/hearst-newspapers-leverages-ai-for-a-human-centred-strategy?_zs=IL4SR1&_zl=JlEq7,"AI Strategy ,Education & Training",Unites Stated,"August 10, 2025","Automation,Assisted journalism,Smart assistant,Training",
Can AI Triage a Pitch? A Case Study in Editorial Evaluation from Minority Africa,Minority Africa,https://generative-ai-newsroom.com/can-ai-triage-a-pitch-a-case-study-in-editorial-evaluation-from-minority-africa-beb864444f9e,Management,"Nigeria, Uganda","June 18, 2025","CustomGPTs,Newsroom organization",
Gruner + Jahr drives a cultural shift toward AI,Gruner + Jahr,https://newsinitiative.withgoogle.com/en-gb/resources/stories/gruner-jahr-drives-a-cultural-shift-toward-ai-1/,News production ,Germany,"May 26, 2025","Google Tools,AI Hubs",
What Nikkei learnt from building its own Japanese AI chatbot,Nikkei,https://reutersinstitute.politics.ox.ac.uk/news/what-nikkei-learnt-building-its-own-japanese-ai-chatbot?Institute_for_the_Study_of_Journalism,"News distribution,Audience Engagement",Japan,"May 20, 2025","Chatbots,Subscriptions",
How AI summarizes the content of user comments on BR24,BR24,"https://www.br.de/nachrichten/wissen/wie-ki-den-inhalt-der-user-kommentare-bei-br24-zusammenfasst,UgNIPa2","Comment Moderation,Audience Engagement",Germany,"May 16, 2025","Comments,GenAI",
From Idea to Implementation: Lessons Learned from the First AI Integration Process in a Local Argentine Newsroom,0221,https://theaudiencers.com/from-idea-to-implementation-lessons-learned-from-the-first-ai-integration-process-in-a-local-argentine-newsroom/,AI Strategy ,Argentina,"May 9, 2025","AI Hubs,CustomGPTs,Assisted journalism,Local news",https://medium.com/periodismo-sint%C3%A9tico/de-la-idea-a-la-implementaci%C3%B3n-lecciones-aprendidas-del-primer-proceso-de-integraci%C3%B3n-de-ia-en-un-8149945d47e7
How Full Fact Uses Generative AI to Find Harmful Health Advice,Full Fact,https://generative-ai-newsroom.com/how-full-fact-uses-generative-ai-to-find-harmful-health-advice-b0e05382ab90,"Generative AI,Newsgathering",United Kingdom,"May 1, 2025","Fact checking,Disinformation,GenAI",
Wall Street Journal taxbot answers questions (while readers try to break it),Wall Street Journal,https://www.inma.org/blogs/Generative-AI-Initiative/post.cfm/wall-street-journal-taxbot-answers-questions-while-readers-try-to-break-it,News distribution,United States,"April 29, 2025",Chatbots,
"From summaries to assisting in investigative reporting, how the FT uses AI",FT,https://wan-ifra.org/2025/04/from-summaries-to-assisting-in-investigative-reporting-how-the-ft-uses-ai/,AI Strategy ,United Kingdom,"April 11, 2025","Summary,Investigative reporting,Content strategy",
EarthCheckr: Leveraging Generative AI for Environmental Journalism Fact-Checking,EarthCheckr,https://generative-ai-newsroom.com/earthcheckr-leveraging-generative-ai-for-environmental-journalism-fact-checking-00a7f82fb0a3,Fact-checking,,"March 12, 2025","Investigations,Fact checking,GenAI",
Scroll.in offers a lesson in the personalisation of news,Scroll.in,https://www.inma.org/blogs/Generative-AI-initiative-newsletter/post.cfm/scroll-in-offers-a-lesson-in-the-personalisation-of-news,Personalization,India,"March 11, 2025","Personalised content,GenAI",
Ask us your news question – new type of search in Sveriges Radio Play, Sveriges Radio,https://www.sverigesradio.se/artikel/stall-din-nyhetsfraga-till-oss-ny-typ-av-sok-i-sveriges-radio-play,"Audience Engagement,Responsible AI",Sweden ,"March 10, 2025",Chatbots,
"This AI tool could give newsrooms “eyes and ears where they don’t have them” - ""Roganbot""",Verso,https://www.niemanlab.org/2025/03/this-ai-tool-could-give-newsrooms-eyes-and-ears-where-they-dont-have-them/,Newsgathering,United States,"March 10, 2025","Assisted journalism,GenAI,Audio,Transcripts",
BZ.Echo | A custom AI platform for Badische Zeitung’s newsrooms,Badischer Verlag,https://www.inma.org/best-practice/Best-Use-of-AI-for-Internal-Productivity/2025-698/BZ.Echo,News production ,Germany,"March 5, 2025","Copilot,GenAI",
"AIAssist: AI-Embedded Newsroom, Centralising Journalism Values",United Daily News Group,https://www.inma.org/best-practice/Best-Initiative-to-Grow-Subscriptions/2025-41/AIAssist-AI-Embedded-Newsroom-Centralising-Journalism-Values,"AI Strategy ,News production ",Taiwan,"March 5, 2025","Copilot,Subscriptions",
Smart Strategies for Tough Times: How Data and AI Empower Publishers to Reclaim Advertising Revenue,United Daily News Group,https://www.inma.org/best-practice/Best-Idea-to-Grow-Advertising-Sales/2025-40/Smart-Strategies-for-Tough-Times-How-Data-and-AI-Empower-Publishers-to-Reclaim-Advertising-Revenue,Revenue,Taiwan,"March 5, 2025","Advertising,Optimisation",
Transforming the FT’s subscriber retention through AI and personalisation,FT,https://www.inma.org/best-practice/Best-Initiative-to-Engage-and-Retain-Subscribers/2025-611/Transforming-the-FTs-Subscriber-Retention-Through-AI-and-personalisation,Subscriptions,United Kingdom,"March 4, 2025","Subscriptions,Personalised content",
Russmedia Meets AI 2.0,Russmedia,https://www.inma.org/best-practice/Best-Use-of-AI-for-Internal-Productivity/2025-397/Russmedia-Meets-AI-2.0,News production ,Austria,"March 3, 2025","Newsroom organization,AI Hubs,AI Literacy,Assisted journalism",
Ringier Slovakia builds out AI to diversify,Ringier Slovakia,https://newsinitiative.withgoogle.com/resources/stories/ringier-slovakia-builds-out-ai-to-diversify/,News distribution,Slovakia,"February 26, 2025","Formatting,Localisation,Google Tools",
How a small Nigerian newsroom used AI for a flooding investigation,The Colonist Report,https://reutersinstitute.politics.ox.ac.uk/news/how-small-nigerian-newsroom-used-ai-flooding-investigation,"Investigations,Generative AI",Nigeria,"February 17, 2025","GenAI,Investigations,Document analysis",
How AI can help fact checkers,Full Fact,https://fullfact.org/blog/2025/feb/how-ai-can-help-fact-checkers/,Fact-checking,United Kingdom,"February 11, 2025","Fact checking,GenAI,Disinformation",
"Transforming Longform Text into Multimedia using Generative AI
",PCIJ,https://generative-ai-newsroom.com/transforming-longform-text-into-multimedia-using-generative-ai-5cc50fa9b460,"News distribution,Synthetic Media",Philippines,"February 5, 2025","GenAI,Multimedia,Images,Videos",
Using genAI to understand impact of journalism: The Agência Pública story,Agência Pública,https://www.journalismai.info/blog/using-genai-to-understand-impact-of-journalism-the-agncia-pblica-story,Research & Innovation ,Brazil,"February 4, 2025","Analytics,GenAI",
Unlocking the future of translation for local journalism: Lessons from CPI’s AI experiment,Centro de Periodismo Investigativo (CPI),https://medium.com/american-journalism-project/unlocking-the-future-of-translation-for-local-journalism-lessons-from-cpis-ai-experiment-7e9e1c7578e0,News distribution,Puerto Rico,"January 31, 2025","Translations,Localisation",
Bonnier News launches GenAI tool in record time,Bonnier News,https://newsinitiative.withgoogle.com/en-gb/resources/stories/bonnier-news-launches-genai-tool-in-record-time/,Generative AI,Sweden,"January 24, 2025","Images,Transcripts,Optimisation,Newsroom organization,Gemini,BigQuery",
How A.I. Tools Helped the Travel Team Study Its ‘Places to Go’ Lists,The New York Times,https://www.nytimes.com/2025/01/19/travel/how-ai-tools-helped-the-travel-team-study-its-places-to-go-lists.html,Generative AI,United States,"January 19, 2025","Archives,Content production,GenAI,Gemini",
Assembly: Using AI to Transform Coverage of Public Meetings,Hearst Newspapers,https://www.inma.org/best-practice/Best-Use-of-AI-for-Internal-Productivity/2025-127/Assembly-Using-AI-to-Transform-Coverage-of-Public-Meetings,Newsgathering,United States,"January 16, 2025","Transcripts,News coverage,GenAI",
"Bloomberg Launches Gen AI Summarization for News Content
",Bloomberg,https://www.bloomberg.com/company/press/bloomberg-launches-gen-ai-summarization-for-news-content/,Generative AI,Global,"January 15, 2025","GenAI,Formatting,News Summaries",
Creating a user-centric news experience,Il Sole 24 Ore,https://newsinitiative.withgoogle.com/en-gb/resources/stories/creating-a-more-user-centric-news-experience,"Personalization,Audience Engagement",Italy,"January 10, 2025","Personalised content,Search,Optimisation,Google Tools",
NTM launches AI-powered automated audio news,NTM Media,https://www.inma.org/blogs/value-content/post.cfm/ntm-launches-ai-powered-automated-audio-news,News distribution,Sweden,"January 5, 2025","Audio,Automation,Audiences,Recommender Systems",https://www.inma.org/best-practice/Best-New-Digital-Product/2025-55/Top-News-AI-Powered-Audio
"From debunking disinformation to turning datasets into stories, AI is changing newsrooms in Nigeria",Dubawa ,https://ijnet.org/en/story/debunking-disinformation-turning-datasets-stories-ai-changing-newsrooms-nigeria,Fact-checking,Nigeria ,"December 18, 2024","Fact checking,Document analysis",
"About TIME’s AI Chatbot
",TIME,https://time.com/7201512/time-ai-chatbot-about/,News production ,United States,"December 11, 2024",Chatbots,
Why We’re Introducing Generative AI to TIME’s Journalism,TIME ,https://time.com/7201556/generative-ai-time-journalism/,AI Strategy ,United States ,"December 11, 2024","Chatbots,News Summaries,Translations",
E24 embraces cooperation to maximise AI’s potential,E24,https://www.inma.org/blogs/media-leaders/post.cfm/e24-embraces-cooperation-to-maximise-ai-s-potential,"Investigations,AI Strategy ,News production ",Norway,"December 8, 2024",Investigations,
Inside the FT’s AI-Powered Story Finding,FT,https://medium.com/ft-product-technology/inside-the-fts-ai-powered-story-finding-efe6d154f20b,Newsgathering,United Kingdom,"November 28, 2024","Investigations,Data journalism,Tracking technologies",
